epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,786.365,0.40648,0.28683,1.08667,0.99586,0.9967,0.99497,0.91822,0.34887,0.2212,1.01146,0.000339673,0.000339673,0.000339673
79,796.832,0.40087,0.28616,1.07687,0.99605,0.99456,0.99481,0.91086,0.3516,0.22363,1.01068,0.000325526,0.000325526,0.000325526
80,807.387,0.40297,0.28184,1.08191,0.99643,0.99526,0.99488,0.91634,0.34726,0.22093,1.00852,0.000311379,0.000311379,0.000311379
81,817.98,0.40179,0.2843,1.08074,0.99734,0.99527,0.99492,0.91341,0.35357,0.22351,1.01106,0.000297232,0.000297232,0.000297232
82,828.501,0.40156,0.28358,1.09211,0.99572,0.9952,0.99488,0.91475,0.34869,0.22656,1.01083,0.000283085,0.000283085,0.000283085
83,838.6,0.40027,0.28104,1.07756,0.99555,0.99552,0.9948,0.91759,0.35242,0.22357,1.00358,0.000268938,0.000268938,0.000268938
84,848.196,0.39993,0.27626,1.0816,0.99512,0.99564,0.99496,0.9175,0.34588,0.21776,1.00529,0.000254791,0.000254791,0.000254791
85,858.119,0.39329,0.27493,1.07603,0.99497,0.99476,0.99489,0.91413,0.34797,0.2238,0.99235,0.000240644,0.000240644,0.000240644
86,868.051,0.39577,0.27814,1.07807,0.99815,0.99545,0.99491,0.92384,0.34314,0.21793,1.00936,0.000226497,0.000226497,0.000226497
87,877.722,0.39519,0.27516,1.0747,0.99695,0.99646,0.99484,0.91609,0.34444,0.22156,0.99533,0.000212349,0.000212349,0.000212349
88,887.422,0.39178,0.27457,1.08117,0.99798,0.99717,0.995,0.92361,0.34725,0.21887,1.00528,0.000198202,0.000198202,0.000198202
89,897.499,0.38493,0.27071,1.08008,0.99683,0.99542,0.99489,0.9193,0.34503,0.21915,1.00158,0.000184055,0.000184055,0.000184055
90,907.019,0.38727,0.27209,1.0716,0.9967,0.99527,0.99492,0.9224,0.34437,0.21796,1.00838,0.000169908,0.000169908,0.000169908
91,935.667,0.37015,0.24912,1.05545,0.99723,0.99693,0.99497,0.92761,0.33934,0.2167,1.00256,0.000155761,0.000155761,0.000155761
92,945.178,0.35959,0.23436,1.04169,0.99802,0.99759,0.99499,0.92586,0.33964,0.21818,0.99729,0.000141614,0.000141614,0.000141614
93,954.631,0.35447,0.23182,1.03906,0.99724,0.99569,0.9949,0.92138,0.34064,0.21624,0.99784,0.000127467,0.000127467,0.000127467
94,964.318,0.35225,0.22803,1.02784,0.99816,0.99572,0.99491,0.92529,0.33911,0.21378,1.00251,0.00011332,0.00011332,0.00011332
95,973.522,0.35253,0.22883,1.02407,0.99781,0.99648,0.99491,0.92427,0.34064,0.21192,0.99913,9.91726e-05,9.91726e-05,9.91726e-05
96,983.014,0.34688,0.22737,1.0292,0.99766,0.99583,0.9949,0.9259,0.33412,0.21207,0.99721,8.50255e-05,8.50255e-05,8.50255e-05
97,992.556,0.34286,0.22431,1.0274,0.99651,0.99546,0.9948,0.92675,0.33985,0.21139,1.00068,7.08784e-05,7.08784e-05,7.08784e-05
98,1002.24,0.34311,0.22623,1.03089,0.99656,0.99566,0.9948,0.92785,0.33412,0.20951,0.9997,5.67313e-05,5.67313e-05,5.67313e-05
99,1011.25,0.33953,0.22125,1.04289,0.99729,0.99827,0.99492,0.92963,0.33108,0.20877,0.99403,4.25842e-05,4.25842e-05,4.25842e-05
100,1020.79,0.33746,0.22167,1.0228,0.99684,0.99823,0.99492,0.92933,0.33362,0.20998,0.99609,2.84371e-05,2.84371e-05,2.84371e-05
