                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.55676,                0.44513,                 1.0469,                 0.9338,                0.93415,                0.94934,                0.75804,                0.53068,                0.38339,                0.97175,              0.0012366,              0.0012366,              0.0012366
                     70,                0.54941,                0.44266,                 1.0525,                0.91815,                0.92905,                0.94222,                0.75334,                0.49998,                0.37139,                0.95506,              0.0012338,              0.0012338,              0.0012338
                     71,                0.55197,                0.44022,                 1.0543,                0.95533,                 0.9091,                 0.9534,                0.76336,                0.50452,                 0.3694,                0.96463,              0.0012309,              0.0012309,              0.0012309
                     72,                0.54754,                 0.4307,                 1.0503,                0.93368,                0.87417,                0.91815,                0.73002,                0.53382,                0.40675,                0.97635,              0.0012281,              0.0012281,              0.0012281
                     73,                0.57066,                0.45607,                 1.0578,                0.89385,                0.93216,                0.93778,                0.75995,                0.50682,                0.36791,                0.95788,              0.0012253,              0.0012253,              0.0012253
                     74,                0.54329,                0.43095,                 1.0376,                0.94283,                0.90222,                0.92563,                0.75417,                0.51341,                0.36093,                0.96987,              0.0012225,              0.0012225,              0.0012225
                     75,                0.54146,                0.42712,                 1.0591,                0.92381,                0.90807,                0.93315,                 0.7484,                0.51542,                0.39427,                0.96796,              0.0012196,              0.0012196,              0.0012196
                     76,                0.55523,                0.43867,                 1.0562,                0.92532,                0.91603,                0.93288,                0.75525,                 0.5067,                0.37665,                0.95783,              0.0012168,              0.0012168,              0.0012168
                     77,                0.56716,                0.43678,                  1.055,                0.89672,                0.93247,                0.92767,                0.76228,                0.51237,                0.37649,                0.96716,               0.001214,               0.001214,               0.001214
                     78,                0.54767,                0.42168,                 1.0552,                 0.9541,                0.90295,                0.94132,                0.75845,                 0.5087,                0.36024,                0.96275,              0.0012111,              0.0012111,              0.0012111
                     79,                0.54488,                0.41277,                 1.0295,                0.93238,                0.89556,                 0.9298,                0.75332,                0.51125,                0.37176,                0.97223,              0.0012083,              0.0012083,              0.0012083
                     80,                0.55762,                0.42837,                 1.0431,                0.91793,                0.90697,                 0.9311,                0.75941,                0.50598,                 0.3609,                0.98223,              0.0012055,              0.0012055,              0.0012055
                     81,                0.52905,                0.41552,                 1.0413,                0.90946,                0.91951,                0.95303,                0.77932,                 0.4851,                0.39694,                0.95778,              0.0012026,              0.0012026,              0.0012026
                     82,                0.52246,                0.41078,                 1.0274,                0.94605,                0.89919,                0.94877,                0.77295,                0.49205,                 0.3716,                0.96289,              0.0011998,              0.0011998,              0.0011998
